sent packet 306, seq #0
sent packet 0, seq #1
sent packet 1, seq #0
sent packet 1, seq #0
sent packet 2, seq #1
sent packet 2, seq #1
sent packet 3, seq #0
sent packet 3, seq #0
sent packet 4, seq #1
sent packet 4, seq #1
sent packet 5, seq #0
sent packet 5, seq #0
sent packet 6, seq #1
sent packet 6, seq #1
sent packet 7, seq #0
sent packet 7, seq #0
sent packet 8, seq #1
sent packet 8, seq #1
sent packet 9, seq #0
sent packet 9, seq #0
sent packet 10, seq #1
sent packet 10, seq #1
sent packet 11, seq #0
sent packet 11, seq #0
sent packet 12, seq #1
sent packet 12, seq #1
sent packet 13, seq #0
sent packet 13, seq #0
sent packet 14, seq #1
sent packet 14, seq #1
sent packet 15, seq #0
sent packet 15, seq #0
sent packet 16, seq #1
sent packet 16, seq #1
sent packet 17, seq #0
sent packet 17, seq #0
sent packet 18, seq #1
sent packet 18, seq #1
sent packet 19, seq #0
sent packet 19, seq #0
sent packet 20, seq #1
sent packet 20, seq #1
sent packet 21, seq #0
sent packet 21, seq #0
sent packet 22, seq #1
sent packet 22, seq #1
sent packet 23, seq #0
sent packet 23, seq #0
sent packet 24, seq #1
sent packet 24, seq #1
sent packet 25, seq #0
sent packet 25, seq #0
sent packet 26, seq #1
sent packet 26, seq #1
sent packet 27, seq #0
sent packet 27, seq #0
sent packet 28, seq #1
sent packet 28, seq #1
sent packet 29, seq #0
sent packet 29, seq #0
sent packet 30, seq #1
sent packet 30, seq #1
sent packet 31, seq #0
sent packet 31, seq #0
sent packet 32, seq #1
sent packet 32, seq #1
sent packet 33, seq #0
sent packet 33, seq #0
sent packet 34, seq #1
sent packet 34, seq #1
sent packet 35, seq #0
sent packet 35, seq #0
sent packet 36, seq #1
sent packet 36, seq #1
sent packet 37, seq #0
sent packet 37, seq #0
sent packet 38, seq #1
sent packet 38, seq #1
sent packet 39, seq #0
sent packet 39, seq #0
sent packet 40, seq #1
sent packet 40, seq #1
sent packet 41, seq #0
sent packet 41, seq #0
sent packet 42, seq #1
sent packet 42, seq #1
sent packet 43, seq #0
sent packet 43, seq #0
sent packet 44, seq #1
sent packet 44, seq #1
sent packet 45, seq #0
sent packet 45, seq #0
sent packet 46, seq #1
sent packet 46, seq #1
sent packet 47, seq #0
sent packet 47, seq #0
sent packet 48, seq #1
sent packet 48, seq #1
sent packet 49, seq #0
sent packet 49, seq #0
